file	keep	scene	location	case	target_channel	distance_m	seating	mic_position	nc	noise_dba	extra_recorders	target_text	user_text	notes
安静包间_底噪_基准_01_第1遍.m4a		安静包间：基准与声纹（茶馆包间、按小时租的共享会议室等，能关门、允许放音箱）	安静包间	底噪	left	1.0	face	collar	off					
安静包间_正式声纹_基准_A_第1遍.m4a		安静包间：基准与声纹（茶馆包间、按小时租的共享会议室等，能关门、允许放音箱）	安静包间	正式声纹	left	1.0	face	collar	off			我平时周末喜欢去郊区爬山，早上六点多出门，路上买个包子和豆浆。山顶风景特别好，天气晴的时候能看到很远的水库。下山以后找个农家乐吃顿饭，一般下午四点前就能回到家，晚上再看会儿书，第二天上班也不觉得累。		
安静包间_正式声纹_基准_B_第1遍.m4a		安静包间：基准与声纹（茶馆包间、按小时租的共享会议室等，能关门、允许放音箱）	安静包间	正式声纹	left	1.0	face	collar	off				我最近在学做饭，先从简单的番茄炒蛋和青椒肉丝开始。一开始总是盐放多了，后来买了一个小量勺，味道就稳定多了。上个星期试着炖了一锅排骨汤，炖了两个小时，骨头都酥了。下一步打算学包饺子，听说和面最难掌握。	
安静包间_快速声纹_基准_A_第1遍.m4a		安静包间：基准与声纹（茶馆包间、按小时租的共享会议室等，能关门、允许放音箱）	安静包间	快速声纹	left	1.0	face	collar	off					
安静包间_快速声纹_基准_B_第1遍.m4a		安静包间：基准与声纹（茶馆包间、按小时租的共享会议室等，能关门、允许放音箱）	安静包间	快速声纹	left	1.0	face	collar	off					
安静包间_对方单说_基准_01_第1遍.m4a		安静包间：基准与声纹（茶馆包间、按小时租的共享会议室等，能关门、允许放音箱）	安静包间	对方单说	left	1.0	face	collar	off			这家店我上个月来过一次，他们的招牌是酸菜鱼，一份大概八十八块，两个人吃刚好。你要是不能吃辣，可以让他们做成微辣。		
安静包间_对方单说_基准_02_第1遍.m4a		安静包间：基准与声纹（茶馆包间、按小时租的共享会议室等，能关门、允许放音箱）	安静包间	对方单说	left	1.0	face	collar	off			我下周三要去杭州出差，大概待四天，周六晚上回来。你要是有空，周日中午我们可以约在西单见面，我请你吃饭。		
安静包间_对方单说_基准_03_第1遍.m4a		安静包间：基准与声纹（茶馆包间、按小时租的共享会议室等，能关门、允许放音箱）	安静包间	对方单说	left	1.0	face	collar	off			张老师说那个报名表要在十五号之前交，需要贴一张两寸照片，还要写清楚联系电话。我明天顺路帮你一起交过去吧。		
安静包间_我单说_基准_01_第1遍.m4a		安静包间：基准与声纹（茶馆包间、按小时租的共享会议室等，能关门、允许放音箱）	安静包间	我单说	left	1.0	face	collar	off				我觉得这里有点吵，刚才你说的那句话我没听清楚。能不能再说一遍，或者我们换到靠窗那边的位置坐。	
安静包间_我单说_基准_02_第1遍.m4a		安静包间：基准与声纹（茶馆包间、按小时租的共享会议室等，能关门、允许放音箱）	安静包间	我单说	left	1.0	face	collar	off				我今天上午去医院复查了，医生说恢复得还不错，下个月再去一次就行。最近睡得也比以前好多了。	
